states,flag,Avg0,SD0,frust0,time
0_0_1_0_1_1_0_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,1,0.07473333333333333,0.0010208928554075697,0.05,120.95796489268078
0_0_1_0_1_1_0_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_1,1,0.07453333333333334,0.000498887651569862,0.05,122.35312105173121
1_1_0_1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,1,0.0732,0.0012027745701779142,0.05,120.44478779851336
1_1_0_1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_0,1,0.0714,0.0018672618098881223,0.05,118.1106330402469
0_0_1_0_1_1_0_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_1_0_1,1,0.05076666666666666,0.0012229290885229433,0.08,119.4492271136874
1_1_0_1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_0_1_1,1,0.05026666666666666,0.001681930108205715,0.08,120.31677699641722
1_1_0_1_0_0_1_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_0_1_0,1,0.0482,0.0005715476066494076,0.08,121.02158545733441
0_0_1_0_1_1_0_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_1_0_0,1,0.0479,0.0028994252303976824,0.08,120.17112139966265
1_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_1,0,0.022766666666666668,0.002441766209574991,0.08,1001.0
0_0_1_0_1_1_1_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0_0_0,1,0.0224,0.0011224972160321829,0.07,104.92865747550047
1_1_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_0,1,0.022033333333333335,0.001297005097222915,0.07,107.67921882372404
1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_1,0,0.022000000000000002,0.0012083045973594563,0.14,1001.0
1_1_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_1,1,0.021500000000000002,0.0005887840577551906,0.07,106.02202147206685
0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0_0_1,0,0.021433333333333332,0.0003399346342395185,0.14,1001.0
0_0_1_0_1_1_1_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0_0_1,1,0.021066666666666668,0.00024944382578492917,0.07,106.10780042906212
