states,flag,Avg0,SD0,frust0,time,turnOffNode
'1_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_2_2_1_0',1,0.0033333333333333335,0.004714045207910317,0.024390243902439025,188.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_2_0_0',1,0.016666666666666666,0.009428090415820633,0.042682926829268296,193.7777777777778,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3_2_3_0',1,0.02666666666666667,0.012472191289246473,0.024390243902439025,242.16666666666666,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_1_2_0_0',1,0.0033333333333333335,0.004714045207910317,0.042682926829268296,150.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_1_1_0_0',1,0.006666666666666667,0.004714045207910317,0.024390243902439025,237.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_1_2_0_1',1,0.0033333333333333335,0.004714045207910317,0.036585365853658534,124.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_2_2_3_2',1,0.01,0.008164965809277261,0.018292682926829267,135.0,None
'0_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_1_2_1_3',1,0.0033333333333333335,0.004714045207910317,0.018292682926829267,222.0,None
'2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_1_1_2_3',1,0.0033333333333333335,0.004714045207910317,0.024390243902439025,132.0,None
'0_3_3_3_2_3_3_3_3_3_3_3_3_0_0_0_0_0_0_3_0_0',0,0.006666666666666667,0.004714045207910317,0.04573170731707317,1000.0,None
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0_2_0_1',1,0.006666666666666667,0.004714045207910317,0.036585365853658534,233.0,None
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3_1_3_1',1,0.01,0.01414213562373095,0.036585365853658534,208.66666666666666,None
'3_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_1_0_2_1',1,0.0033333333333333335,0.004714045207910317,0.03048780487804878,196.0,None
