states,flag,Avg0,SD0,frust0,time
0_0_1_0_1_1_0_0_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0,1,0.248,0.004262237284181477,0.0449438202247191,117.12185772002431
1_1_0_1_0_0_1_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,1,0.24759999999999996,0.004368828981164927,0.0449438202247191,118.06026361481696
0_0_1_0_1_1_1_0_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0,1,0.0814,0.002515286597321799,0.06741573033707865,102.32836504624906
1_1_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,1,0.0796,0.0034765883660086497,0.06741573033707865,105.16995075034374
1_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,0,0.07176666666666666,0.0004109609335312656,0.07865168539325842,1001.0
0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0,0,0.07173333333333333,0.0016438437341250618,0.1348314606741573,1001.0
1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,0,0.0712,0.0012961481396815727,0.1348314606741573,1001.0
0_0_1_1_1_1_1_0_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0,0,0.07056666666666667,0.0030379086373505198,0.07865168539325842,1001.0
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_1_1_0_0_0_0_0_1,1,0.02093333333333333,0.0016819301082057158,0.2808988764044944,95.20911418330773
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_0_0_1_1_1_1_1_0,1,0.018733333333333334,0.0004027681991198199,0.2808988764044944,96.44495960254012
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_1_0_0_1_0_0_1,1,0.0028,0.000408248290463863,0.3258426966292135,62.925058033753686
0_1_1_1_0_1_0_1_1_1_1_0_1_1_0_0_0_1_1_1_1_0_0,1,0.0026999999999999997,0.00037416573867739424,0.3258426966292135,80.78490802675586
1_0_0_0_1_0_1_0_0_0_0_1_0_0_1_1_1_0_0_0_0_1_1,1,0.0023666666666666667,9.428090415820638e-5,0.3258426966292135,86.0
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_1_0_1_1_0_1_1_0,1,0.0019333333333333331,0.0003681787005729086,0.3258426966292135,66.85526315789474
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_0_0_1_1_1_1_1_1,0,0.0014999999999999998,0.00014142135623730948,0.30337078651685395,1001.0
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_1_1_0_0_0_0_0_0,0,0.0014333333333333333,0.00016996731711975958,0.30337078651685395,1001.0
0_0_0_0_1_0_1_0_0_1_0_1_0_0_1_1_1_0_0_0_0_1_1,1,0.0008333333333333334,0.00016996731711975952,0.3595505617977528,76.37037037037037
1_1_1_1_0_1_0_1_1_0_1_0_1_1_0_0_0_1_1_1_1_0_0,1,0.0006333333333333333,0.00012472191289246472,0.3595505617977528,74.11111111111111
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_1_0_1_1_0_1_1_1,0,0.0005333333333333333,9.42809041582063e-5,0.34831460674157305,1001.0
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_1_0_0_1_0_0_0,0,0.0004666666666666667,0.00024944382578492944,0.34831460674157305,1001.0
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_1_0_0_1_1_0_0,0,0.0004333333333333333,0.00016996731711975947,0.3595505617977528,1001.0
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_1_0_1_0_0_1_1_1,0,0.0003,8.164965809277261e-5,0.3595505617977528,1001.0
1_0_0_0_1_0_1_0_0_0_0_1_0_0_1_0_1_0_0_1_0_1_0,0,0.00023333333333333336,0.0001885618083164127,0.3707865168539326,1001.0
1_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_1_0_1_1_0_0_0,0,0.0002,0.0,0.3595505617977528,1001.0
1_1_1_1_0_0_0_1_1_0_1_0_1_1_0_0_1_1_1_1_1_0_0,0,0.00016666666666666666,0.0001247219128924647,0.33707865168539325,1001.0
0_0_0_0_1_1_1_0_0_1_0_1_0_0_1_1_0_0_0_0_0_1_1,0,0.00016666666666666666,9.428090415820633e-5,0.33707865168539325,1001.0
1_0_0_0_1_0_1_0_0_0_0_1_0_0_1_1_1_0_0_0_0_1_0,0,0.00016666666666666666,9.428090415820633e-5,0.34831460674157305,1001.0
0_1_1_1_0_1_0_1_1_1_1_0_1_1_0_0_0_1_1_1_1_0_1,0,0.00013333333333333334,4.7140452079103176e-5,0.34831460674157305,1001.0
0_1_1_1_0_1_1_1_1_1_1_0_1_1_0_1_0_1_1_0_0_1_1,0,0.0001,0.0,0.3595505617977528,1001.0
0_0_1_0_1_0_0_0_1_1_1_1_1_0_1_1_1_0_0_0_0_0_0,0,0.0001,8.164965809277261e-5,0.20224719101123595,1001.0
0_1_1_1_0_1_1_1_0_1_1_0_1_1_0_0_0_1_1_1_1_1_1,0,6.666666666666667e-5,4.7140452079103176e-5,0.3258426966292135,1001.0
1_1_0_1_0_1_1_1_0_0_1_0_0_0_0_0_0_1_1_1_1_1_1,0,6.666666666666667e-5,4.714045207910317e-5,0.1348314606741573,1001.0
1_0_1_0_1_0_0_0_1_0_0_1_1_0_1_1_1_0_0_0_0_0_0,0,6.666666666666667e-5,4.7140452079103176e-5,0.2808988764044944,1001.0
