states,flag,Avg0,SD0,frust0,time
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,1,0.07636666666666668,0.0018624953392932001,0.04878048780487805,95.42525075801416
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,1,0.07486666666666666,0.0015860503004493758,0.04878048780487805,94.53760006959374
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_0,1,0.07216666666666667,0.0016438437341250618,0.04878048780487805,93.35249242037987
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_1,1,0.07113333333333333,0.0009741092797468285,0.04878048780487805,93.7857235949903
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_1,1,0.05883333333333333,0.000464279609239469,0.07317073170731707,90.7856192110105
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0_0_0,1,0.056,0.001003327796219493,0.07317073170731707,91.68657195614833
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_0,1,0.0524,0.0006377042156569683,0.07317073170731707,90.33880584155649
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_1_0_0,1,0.050100000000000006,0.002545584412271569,0.08536585365853659,93.24056660150904
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_1_0_0_1,1,0.049633333333333335,0.0012119772641798563,0.07317073170731707,90.38287382667541
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_0_1_1,1,0.04873333333333333,0.0011813363431112894,0.08536585365853659,92.92277263067012
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_1_0_1,1,0.044566666666666664,0.002101322334996599,0.08536585365853659,88.5801636181538
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_0_1_0,1,0.044333333333333336,0.003164736253711445,0.08536585365853659,89.4612372845512
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_0_1_1,1,0.03883333333333334,0.001517307556898803,0.10975609756097561,87.06420485755666
