states,flag,Avg0,SD0,frust0,time
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,1,0.47750000000000004,0.0049281504306044315,0.013333333333333334,94.64820248861349
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,1,0.46889999999999993,0.003293427798915086,0.013333333333333334,94.66977898061721
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,1,0.024433333333333335,0.0023342855200015468,0.29333333333333333,70.19659405672189
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,1,0.0244,0.0002943920288775947,0.29333333333333333,70.60622289129306
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,0,0.0016333333333333332,0.00041096093353126497,0.32,1001.0
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,0,0.0015666666666666667,0.00016996731711975947,0.32,1001.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,0.00039999999999999996,0.0001414213562373095,0.3466666666666667,1001.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,0,0.0003,8.164965809277261e-5,0.3466666666666667,1001.0
1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,0,6.666666666666667e-5,9.428090415820635e-5,0.12,1001.0
0_1_0_1_0_1_1_0_1_1_0_0_0_0_1_1_1_1_1,0,6.666666666666667e-5,4.714045207910317e-5,0.3466666666666667,1001.0
1_1_1_0_1_0_0_1_0_0_0_1_0_1_0_0_1_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.38666666666666666,1001.0
0_1_1_0_1_0_1_1_1_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.25333333333333335,1001.0
1_0_0_0_0_0_1_0_0_0_0_0_0_1_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.04,1001.0
1_1_1_0_1_0_1_1_1_0_1_0_1_1_1_0_1_0_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.41333333333333333,1001.0
0_1_1_1_1_1_0_1_1_0_1_1_1_0_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.14666666666666667,1001.0
1_0_1_0_1_0_0_1_0_0_0_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.36,1001.0
1_0_0_1_0_1_0_0_0_1_0_1_0_0_0_1_0_1_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.41333333333333333,1001.0
0_1_0_1_1_1_1_0_1_1_1_1_0_0_0_1_0_1_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.29333333333333333,1001.0
0_1_1_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.09333333333333334,1001.0
1_0_0_1_0_0_0_0_0_0_1_0_0_1_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.10666666666666667,1001.0
1_0_1_0_1_0_1_1_1_0_0_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.37333333333333335,1001.0
1_1_1_0_1_0_0_1_0_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.32,1001.0
0_0_1_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.14666666666666667,1001.0
1_1_1_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.12,1001.0
0_0_0_1_0_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.38666666666666666,1001.0
0_0_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.3466666666666667,1001.0
1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.09333333333333334,1001.0
1_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.12,1001.0
1_1_1_0_1_0_1_1_1_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.714045207910317e-5,0.28,1001.0
0_1_1_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,0,3.3333333333333335e-5,4.714045207910317e-5,0.04,1001.0
0_0_0_1_0_1_1_0_1_1_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.32,1001.0
1_1_1_0_1_1_1_1_1_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.714045207910317e-5,0.25333333333333335,1001.0
