states,flag,Avg0,SD0,frust0,time
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.3466,0.0013735598518690951,0.013333333333333334,127.35549639072963
3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3,1,0.34613333333333335,0.0037043517951488147,0.013333333333333334,127.95093449510318
2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_2,1,0.14356666666666665,0.0028158282775923725,0.0033333333333333335,122.5012204162215
1_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_1,1,0.14170000000000002,0.0002160246899469263,0.0033333333333333335,122.11343160612006
1_2_1_2_2_2_2_1_2_2_2_1_1_1_2_2_2_2_1,1,0.0064,0.00035590260840104353,0.07333333333333333,106.01865178815494
2_1_2_1_1_1_1_2_1_1_1_2_2_2_1_1_1_1_2,1,0.005966666666666666,0.0009392668535736918,0.07333333333333333,101.54342723004696
2_1_2_1_1_1_1_2_1_1_1_1_2_2_2_0_2_0_2,1,0.0015333333333333334,0.00041096093353126513,0.08666666666666667,87.45833333333333
1_2_1_2_2_2_2_1_2_3_2_1_1_1_2_2_2_2_2,1,0.0013666666666666669,0.00026246692913372703,0.09,97.08333333333333
1_2_1_2_2_2_2_1_2_2_2_2_1_1_1_3_1_3_1,1,0.0010666666666666665,0.00023570226039551585,0.08666666666666667,87.91534391534391
2_1_2_1_1_1_1_2_1_0_1_2_2_2_1_1_1_1_1,1,0.0010333333333333334,0.0002357022603955158,0.09,106.57936507936508
2_2_2_2_2_1_1_2_1_0_2_2_2_1_1_1_1_1_1,1,0.0008333333333333334,0.00023570226039551585,0.08666666666666667,109.33333333333333
1_1_1_1_1_2_2_1_2_3_1_1_1_2_2_2_2_2_2,1,0.0005666666666666666,0.0001247219128924647,0.08666666666666667,88.92063492063492
1_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2,1,0.0005333333333333333,0.00024944382578492944,0.09333333333333334,72.05555555555556
2_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,0.0004,0.0001414213562373095,0.09333333333333334,83.33333333333333
2_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2,1,0.0002666666666666667,9.428090415820635e-5,0.09333333333333334,68.16666666666667
1_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,0.00023333333333333336,0.00012472191289246472,0.09333333333333334,104.0
1_2_1_2_2_2_2_1_2_2_2_1_1_1_2_2_2_2_2,0,0.00023333333333333333,0.00020548046676563257,0.08,1000.0
1_2_1_2_2_2_2_1_2_2_2_1_2_1_2_2_1_2_2,0,0.00016666666666666666,9.428090415820633e-5,0.08666666666666667,1000.0
2_1_2_1_1_1_1_2_1_1_1_2_1_2_1_0_2_0_2,1,0.00016666666666666666,0.0001247219128924647,0.09333333333333334,102.33333333333334
1_2_1_2_2_2_2_1_2_2_2_1_2_1_2_3_1_3_1,1,0.00013333333333333334,9.428090415820635e-5,0.09333333333333334,76.5
2_1_2_1_1_1_1_2_1_1_1_2_1_2_1_1_2_1_1,0,0.0001,8.164965809277261e-5,0.08666666666666667,1000.0
1_0_1_0_1_2_3_1_3_3_2_1_1_3_2_2_2_2_2,1,6.666666666666667e-5,9.428090415820635e-5,0.12333333333333334,44.0
0_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,6.666666666666667e-5,9.428090415820635e-5,0.11,54.0
2_1_2_3_2_1_0_2_0_0_2_2_2_0_1_1_1_1_1,1,6.666666666666667e-5,9.428090415820635e-5,0.12,74.0
2_0_2_3_2_1_0_2_0_0_1_2_2_0_1_1_1_1_1,1,6.666666666666667e-5,9.428090415820635e-5,0.13,49.0
1_1_1_1_1_2_2_1_2_3_2_1_2_2_2_1_1_3_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.11666666666666667,39.0
1_3_1_0_1_2_3_1_3_3_1_1_1_3_2_2_2_2_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.13,49.0
2_2_2_1_2_1_1_2_2_1_1_2_2_2_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.08,1000.0
2_1_2_1_1_1_1_2_1_0_1_2_1_2_1_0_2_0_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.10666666666666667,79.0
2_1_2_1_1_1_1_2_1_1_1_2_2_2_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.08,1000.0
2_1_1_2_1_1_1_1_1_1_1_1_1_2_2_2_2_2_2,0,3.3333333333333335e-5,4.7140452079103176e-5,0.01,1000.0
1_1_1_0_1_2_3_1_3_3_3_1_1_3_2_2_2_2_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.12666666666666668,119.0
2_2_2_3_2_1_1_2_1_0_1_2_1_0_1_3_2_0_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.13666666666666666,29.0
2_3_2_3_2_1_0_2_0_0_3_2_2_0_1_1_1_1_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.13333333333333333,39.0
2_1_2_1_1_1_1_2_1_1_1_2_1_2_1_0_2_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.09333333333333334,1000.0
1_2_1_2_1_2_2_1_2_2_2_1_1_1_2_2_2_2_2,0,3.3333333333333335e-5,4.7140452079103176e-5,0.09,999.0
3_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.11,39.0
1_1_1_1_1_2_2_1_2_3_2_1_2_2_2_3_1_1_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.11666666666666667,89.0
1_1_1_0_1_2_3_1_3_3_2_1_1_3_2_2_2_2_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.11666666666666667,199.0
2_2_2_3_2_1_0_2_0_0_1_2_2_0_1_1_1_1_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.11666666666666667,59.0
1_2_1_2_2_2_2_1_2_3_2_1_2_1_2_3_1_3_2,1,3.3333333333333335e-5,4.7140452079103176e-5,0.10666666666666667,69.0
2_2_2_2_2_1_1_2_1_0_1_2_1_1_1_0_2_3_1,1,3.3333333333333335e-5,4.7140452079103176e-5,0.12666666666666668,69.0
2_1_2_3_2_1_0_2_0_0_1_2_2_0_1_1_1_1_1,1,3.3333333333333335e-5,4.714045207910317e-5,0.12,49.0
2_2_1_2_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2,0,3.3333333333333335e-5,4.714045207910317e-5,0.03666666666666667,1000.0
1_1_1_1_1_2_2_1_2_3_2_1_2_2_2_3_1_0_2,1,3.3333333333333335e-5,4.714045207910317e-5,0.12666666666666668,59.0
2_2_2_3_2_1_0_2_0_0_0_2_2_0_1_1_1_1_1,1,3.3333333333333335e-5,4.714045207910317e-5,0.12666666666666668,109.0
1_2_1_0_1_2_3_1_3_3_0_1_1_3_2_2_2_2_2,1,3.3333333333333335e-5,4.714045207910317e-5,0.13,69.0
