init,pert,fin,flag,frust,time
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,3_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,9.909090909090908
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_0_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.013333333333333334,15.363636363636363
